,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
616,CHEMBL179222,Brc1ccc2c(c1)CC/C2=C/c1ccncc1,active,286.17199999999997,4.330900000000003,0.0,1.0,5.46850830977847
617,CHEMBL359942,COc1ccc2c(c1)CC/C2=C\c1ccncc1,active,237.302,3.5770000000000017,0.0,2.0,5.402293847180586
618,CHEMBL175609,COc1ccc2c(c1)CC/C2=C/c1ccncc1,active,237.302,3.5770000000000017,0.0,2.0,5.429445385692169
620,CHEMBL185165,COc1ccc2c(c1)OC(c1ccccc1)CC2n1cncn1,active,307.353,3.3999000000000015,0.0,5.0,5.8538409443951815
621,CHEMBL184952,COc1ccc2c(c1)OC(c1ccccc1)CC2n1cnnc1,inactive,307.353,3.3999000000000015,0.0,5.0,4.500311543034145
625,CHEMBL185966,C=CCSc1oc2cc(OCc3ccccc3)ccc2c(=O)c1-c1ccc(OC)cc1,inactive,430.5250000000002,6.325700000000006,0.0,5.0,3.9999995657057354
626,CHEMBL361872,COc1ccc(-c2c(SCc3ccccc3)oc3cc(OCc4ccccc4)ccc3c2=O)cc1,inactive,480.58500000000026,7.339900000000005,0.0,5.0,3.9999995657057354
627,CHEMBL264724,C=CCSc1oc2cc(OC)ccc2c(=O)c1-c1ccccc1,inactive,324.401,4.746700000000004,0.0,4.0,3.9999995657057354
628,CHEMBL189170,COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccccc3)oc2c1,inactive,374.4610000000001,5.760900000000004,0.0,4.0,3.9999995657057354
629,CHEMBL185809,COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccncc3)oc2c1,active,375.4490000000001,5.1559000000000035,0.0,5.0,5.795852874787152
630,CHEMBL185819,COc1ccc2c(=O)c(-c3ccccc3)c(SCc3cccnc3)oc2c1,active,375.4490000000001,5.1559000000000035,0.0,5.0,5.036207452087905
631,CHEMBL362906,COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccccn3)oc2c1,inactive,375.4490000000001,5.1559000000000035,0.0,5.0,3.9999995657057354
632,CHEMBL184051,COc1ccc2c(=O)c(-c3ccc(C)cc3)c(SCc3ccncc3)oc2c1,active,389.4760000000001,5.464320000000004,0.0,5.0,5.522864269038877
633,CHEMBL361653,COc1ccc(-c2c(SCc3ccncc3)oc3cc(OC)ccc3c2=O)cc1,active,405.4750000000002,5.164500000000004,0.0,6.0,5.508624296892266
637,CHEMBL364326,O=c1c(-c2ccccc2)c(SCc2cccnc2)oc2cc(O)ccc12,active,361.4220000000001,4.8529000000000035,1.0,5.0,5.443685435664653
640,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,232.28299999999996,1.3532,2.0,3.0,5.552826458417537
641,CHEMBL131921,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,inactive,284.267,2.8798000000000012,2.0,5.0,4.468519805622912
643,CHEMBL192306,COc1ccc2c(=O)c(-c3ccccc3)c(-n3ccnc3)oc2c1,inactive,318.33200000000005,3.654300000000002,0.0,5.0,0.9999999995657055
644,CHEMBL189472,COc1ccc(-c2c(-n3ccnc3)oc3cc(OC)ccc3c2=O)cc1,active,348.35800000000006,3.6629000000000023,0.0,6.0,5.698948290154774
